section,category,subcategory_a,subcategory_b,trans_ab,trans_ab_pm,avg_qty_a_when_pair,avg_qty_b_when_pair
BREAKFAST,2021 - SWEETENED CONDENSED MILK,2021A - SWEETENED CONDENSED MILK PACK,2021B - SWEETENED CONDENSED MILK POUCH,73,24.3333333333333333,1.3157894736842105,1.3052631578947368
BREAKFAST,2021 - SWEETENED CONDENSED MILK,2021A - SWEETENED CONDENSED MILK PACK,2021C - SWEETENED CONDENSED MILK CAN,20,6.6666666666666667,1.0500000000000000,1.1000000000000000
BREAKFAST,2021 - SWEETENED CONDENSED MILK,2021A - SWEETENED CONDENSED MILK PACK,2021D - SWEETENED CONDENSED CREAMER CAN,11,3.6666666666666667,1.2307692307692308,1.1538461538461538
BREAKFAST,2021 - SWEETENED CONDENSED MILK,2021A - SWEETENED CONDENSED MILK PACK,2021E - SWEETENED CONDENSED CREAMER PACK,41,13.6666666666666667,1.4130434782608696,1.7826086956521739
BREAKFAST,2021 - SWEETENED CONDENSED MILK,2021B - SWEETENED CONDENSED MILK POUCH,2021C - SWEETENED CONDENSED MILK CAN,232,77.3333333333333333,1.3768656716417910,1.3246268656716418
BREAKFAST,2021 - SWEETENED CONDENSED MILK,2021B - SWEETENED CONDENSED MILK POUCH,2021D - SWEETENED CONDENSED CREAMER CAN,105,35.0000000000000000,1.1984126984126984,1.5634920634920635
BREAKFAST,2021 - SWEETENED CONDENSED MILK,2021B - SWEETENED CONDENSED MILK POUCH,2021E - SWEETENED CONDENSED CREAMER PACK,57,19.0000000000000000,1.6666666666666667,1.2839506172839506
BREAKFAST,2021 - SWEETENED CONDENSED MILK,2021C - SWEETENED CONDENSED MILK CAN,2021D - SWEETENED CONDENSED CREAMER CAN,84,28.0000000000000000,1.2526315789473684,1.5263157894736842
BREAKFAST,2021 - SWEETENED CONDENSED MILK,2021C - SWEETENED CONDENSED MILK CAN,2021E - SWEETENED CONDENSED CREAMER PACK,7,2.3333333333333333,1.1428571428571429,1.00000000000000000000
BREAKFAST,2021 - SWEETENED CONDENSED MILK,2021D - SWEETENED CONDENSED CREAMER CAN,2021E - SWEETENED CONDENSED CREAMER PACK,13,4.3333333333333333,1.1428571428571429,1.2857142857142857
CHILLER,1111 - ENERGY DRINK,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111B - ENERGY DRINK LIQUID CAN 200-350ML,19,6.3333333333333333,1.1666666666666667,1.0833333333333333
CHILLER,1112 - CARBONATED DRINK,1112A - CARBONATED DRINK CAN 200-250ML,1112C - CARBONATED DRINK PET 250-450 ML,140,46.6666666666666667,1.9618320610687023,2.3549618320610687
CHILLER,1112 - CARBONATED DRINK,1112A - CARBONATED DRINK CAN 200-250ML,1112D - CARBONATED DRINK PET 425-500ML,14,4.6666666666666667,1.0526315789473684,1.2631578947368421
CHILLER,1112 - CARBONATED DRINK,1112A - CARBONATED DRINK CAN 200-250ML,1112E - CARBONATED DRINK PET 1000-1800ML,69,23.0000000000000000,1.3516483516483516,1.0769230769230769
CHILLER,1112 - CARBONATED DRINK,1112B - CARBONATED DRINK CAN 300-330ML,1112C - CARBONATED DRINK PET 250-450 ML,4,2.0000000000000000,1.2000000000000000,1.6000000000000000
CHILLER,1112 - CARBONATED DRINK,1112B - CARBONATED DRINK CAN 300-330ML,1112E - CARBONATED DRINK PET 1000-1800ML,3,1.5000000000000000,1.3333333333333333,1.00000000000000000000
CHILLER,1112 - CARBONATED DRINK,1112C - CARBONATED DRINK PET 250-450 ML,1112D - CARBONATED DRINK PET 425-500ML,49,16.3333333333333333,1.3934426229508197,1.0491803278688525
CHILLER,1112 - CARBONATED DRINK,1112C - CARBONATED DRINK PET 250-450 ML,1112E - CARBONATED DRINK PET 1000-1800ML,3874,1291.3333333333333333,1.1354292623941959,1.0856106408706167
CHILLER,1112 - CARBONATED DRINK,1112D - CARBONATED DRINK PET 425-500ML,1112E - CARBONATED DRINK PET 1000-1800ML,29,9.6666666666666667,1.1578947368421053,1.0789473684210526
CHILLER,1113 - MINERAL WATER,1113B - MINERAL WATER PET 330-400ML,1113C - MINERAL WATER PET 500-750ML,491,163.6666666666666667,5.1529850746268657,4.1138059701492537
CHILLER,1113 - MINERAL WATER,1113B - MINERAL WATER PET 330-400ML,1113D - MINERAL WATER PET 1-1.5L,176,58.6666666666666667,8.3184357541899441,4.8547486033519553
CHILLER,1113 - MINERAL WATER,1113B - MINERAL WATER PET 330-400ML,1113I - FUNCTIONAL DRINK,65,21.6666666666666667,7.0869565217391304,3.0434782608695652
CHILLER,1113 - MINERAL WATER,1113C - MINERAL WATER PET 500-750ML,1113D - MINERAL WATER PET 1-1.5L,2059,686.3333333333333333,2.9482835488185466,2.1350869371377619
CHILLER,1113 - MINERAL WATER,1113C - MINERAL WATER PET 500-750ML,1113I - FUNCTIONAL DRINK,440,146.6666666666666667,3.6887550200803213,2.2791164658634538
CHILLER,1113 - MINERAL WATER,1113D - MINERAL WATER PET 1-1.5L,1113I - FUNCTIONAL DRINK,248,82.6666666666666667,1.9197080291970803,2.1715328467153285
CHILLER,1114 - ISOTONIC DRINK,1114A - ISOTONIC DRINK PET 100-250ML,1114B - ISOTONIC DRINK PET 300-380ML,67,22.3333333333333333,1.9571428571428571,1.6857142857142857
CHILLER,1114 - ISOTONIC DRINK,1114A - ISOTONIC DRINK PET 100-250ML,1114C - ISOTONIC DRINK PET 450-500ML,134,44.6666666666666667,1.5000000000000000,1.3108108108108108
CHILLER,1114 - ISOTONIC DRINK,1114A - ISOTONIC DRINK PET 100-250ML,1114D - ISOTONIC DRINK CAN 330ML,11,3.6666666666666667,2.7272727272727273,1.8181818181818182
CHILLER,1114 - ISOTONIC DRINK,1114A - ISOTONIC DRINK PET 100-250ML,1114E - ISOTONIC DRINK PET 900ML-1.5L,21,7.0000000000000000,1.3809523809523810,1.1428571428571429
CHILLER,1114 - ISOTONIC DRINK,1114A - ISOTONIC DRINK PET 100-250ML,1114F - ISOTONIC DRINK PET 2L,8,2.6666666666666667,3.3750000000000000,1.3750000000000000
CHILLER,1114 - ISOTONIC DRINK,1114B - ISOTONIC DRINK PET 300-380ML,1114C - ISOTONIC DRINK PET 450-500ML,249,83.0000000000000000,1.5280235988200590,1.4542772861356932
CHILLER,1114 - ISOTONIC DRINK,1114B - ISOTONIC DRINK PET 300-380ML,1114D - ISOTONIC DRINK CAN 330ML,7,2.3333333333333333,3.1666666666666667,2.5833333333333333
CHILLER,1114 - ISOTONIC DRINK,1114B - ISOTONIC DRINK PET 300-380ML,1114E - ISOTONIC DRINK PET 900ML-1.5L,19,6.3333333333333333,1.0476190476190476,1.0952380952380952
CHILLER,1114 - ISOTONIC DRINK,1114B - ISOTONIC DRINK PET 300-380ML,1114F - ISOTONIC DRINK PET 2L,5,1.6666666666666667,1.8571428571428571,1.4285714285714286
CHILLER,1114 - ISOTONIC DRINK,1114C - ISOTONIC DRINK PET 450-500ML,1114D - ISOTONIC DRINK CAN 330ML,14,4.6666666666666667,1.6666666666666667,1.7777777777777778
CHILLER,1114 - ISOTONIC DRINK,1114C - ISOTONIC DRINK PET 450-500ML,1114E - ISOTONIC DRINK PET 900ML-1.5L,98,32.6666666666666667,1.3301886792452830,1.1320754716981132
CHILLER,1114 - ISOTONIC DRINK,1114C - ISOTONIC DRINK PET 450-500ML,1114F - ISOTONIC DRINK PET 2L,50,16.6666666666666667,1.4912280701754386,1.0701754385964912
CHILLER,1114 - ISOTONIC DRINK,1114D - ISOTONIC DRINK CAN 330ML,1114E - ISOTONIC DRINK PET 900ML-1.5L,4,1.3333333333333333,1.2500000000000000,1.00000000000000000000
CHILLER,1114 - ISOTONIC DRINK,1114D - ISOTONIC DRINK CAN 330ML,1114F - ISOTONIC DRINK PET 2L,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
CHILLER,1114 - ISOTONIC DRINK,1114E - ISOTONIC DRINK PET 900ML-1.5L,1114F - ISOTONIC DRINK PET 2L,24,8.0000000000000000,1.2500000000000000,1.1250000000000000
CHILLER,1115 - REMEDIES DRINK,1115A - REMEDIES DRINK CAN,1115B - REMEDIES DRINK BOX,68,22.6666666666666667,1.3809523809523810,1.0952380952380952
CHILLER,1115 - REMEDIES DRINK,1115A - REMEDIES DRINK CAN,1115C - REMEDIES DRINK PET 150-350ML,373,124.3333333333333333,1.3992537313432836,1.4067164179104478
CHILLER,1115 - REMEDIES DRINK,1115A - REMEDIES DRINK CAN,1115D - REMEDIES DRINK PET 500-600ML,460,153.3333333333333333,1.3264331210191083,1.5302547770700637
CHILLER,1115 - REMEDIES DRINK,1115C - REMEDIES DRINK PET 150-350ML,1115D - REMEDIES DRINK PET 500-600ML,192,64.0000000000000000,1.3891402714932127,1.5837104072398190
CHILLER,1116 - VITAMIN DRINK,1116A - VITAMIN DRINK 100-150ML,1116B - VITAMIN DRINK 300-500ML,59,19.6666666666666667,1.3678160919540230,1.4137931034482759
CHILLER,1118 - CARBONATED MALT,1118A - CARBONATED MALT,1118B - CARBONATED MALT PACK,20,6.6666666666666667,2.0000000000000000,2.3461538461538462
CHILLER,1121 - DESSERT,1121C - GRASS JELLY,1121D - ICE POP,4,1.3333333333333333,1.8750000000000000,1.00000000000000000000
CHILLER,1121 - DESSERT,1121C - GRASS JELLY,1121E - MIXED FRUIT,2,0.66666666666666666667,2.0000000000000000,2.0000000000000000
CHILLER,1151 - RTD JUICE,1151B - JUICE TETRAPACK 125-150ML,1151C - JUICE TETRAPACK 200ML,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
CHILLER,1151 - RTD JUICE,1151B - JUICE TETRAPACK 125-150ML,1151D - JUICE TETRAPACK 240-250ML,16,5.3333333333333333,2.5000000000000000,2.0416666666666667
CHILLER,1151 - RTD JUICE,1151B - JUICE TETRAPACK 125-150ML,1151E - JUICE TETRAPACK 750-1200ML,3,1.00000000000000000000,2.3333333333333333,1.00000000000000000000
CHILLER,1151 - RTD JUICE,1151B - JUICE TETRAPACK 125-150ML,1151F - JUICE PET 200-450ML,3,1.00000000000000000000,1.3333333333333333,1.00000000000000000000
CHILLER,1151 - RTD JUICE,1151B - JUICE TETRAPACK 125-150ML,1151H - JUICE CAN 230-350ML,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
CHILLER,1151 - RTD JUICE,1151C - JUICE TETRAPACK 200ML,1151D - JUICE TETRAPACK 240-250ML,15,5.0000000000000000,1.3157894736842105,1.4210526315789474
CHILLER,1151 - RTD JUICE,1151C - JUICE TETRAPACK 200ML,1151E - JUICE TETRAPACK 750-1200ML,15,5.0000000000000000,1.9333333333333333,1.00000000000000000000
CHILLER,1151 - RTD JUICE,1151C - JUICE TETRAPACK 200ML,1151F - JUICE PET 200-450ML,46,15.3333333333333333,1.6400000000000000,1.0600000000000000
CHILLER,1151 - RTD JUICE,1151C - JUICE TETRAPACK 200ML,1151H - JUICE CAN 230-350ML,17,5.6666666666666667,1.8620689655172414,1.3103448275862069
CHILLER,1151 - RTD JUICE,1151D - JUICE TETRAPACK 240-250ML,1151E - JUICE TETRAPACK 750-1200ML,42,14.0000000000000000,1.3777777777777778,1.1111111111111111
CHILLER,1151 - RTD JUICE,1151D - JUICE TETRAPACK 240-250ML,1151F - JUICE PET 200-450ML,173,57.6666666666666667,1.4862385321100917,1.1788990825688073
CHILLER,1151 - RTD JUICE,1151D - JUICE TETRAPACK 240-250ML,1151H - JUICE CAN 230-350ML,27,9.0000000000000000,1.8043478260869565,1.3478260869565217
CHILLER,1151 - RTD JUICE,1151E - JUICE TETRAPACK 750-1200ML,1151F - JUICE PET 200-450ML,1800,600.0000000000000000,1.0448548812664908,1.0664907651715040
CHILLER,1151 - RTD JUICE,1151E - JUICE TETRAPACK 750-1200ML,1151H - JUICE CAN 230-350ML,4,1.3333333333333333,1.2000000000000000,1.6000000000000000
CHILLER,1151 - RTD JUICE,1151F - JUICE PET 200-450ML,1151H - JUICE CAN 230-350ML,52,17.3333333333333333,1.0857142857142857,1.3285714285714286
CHILLER,1154 - RTD TEA,1154A - RTD TEA TETRAPACK 200-240ML,1154B - RTD TEA TETRAPACK 250-500ML,176,58.6666666666666667,2.8594771241830065,2.3169934640522876
CHILLER,1154 - RTD TEA,1154A - RTD TEA TETRAPACK 200-240ML,1154C - RTD TEA TETRAPACK 1L,23,7.6666666666666667,3.1250000000000000,1.5000000000000000
CHILLER,1154 - RTD TEA,1154A - RTD TEA TETRAPACK 200-240ML,1154D - RTD TEA PET 250-420ML,150,50.0000000000000000,3.2746113989637306,2.4715025906735751
CHILLER,1154 - RTD TEA,1154A - RTD TEA TETRAPACK 200-240ML,1154E - RTD TEA PET 450-500ML,63,21.0000000000000000,2.5512820512820513,1.8846153846153846
CHILLER,1154 - RTD TEA,1154A - RTD TEA TETRAPACK 200-240ML,1154G - RTD TEA CAN,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
CHILLER,1154 - RTD TEA,1154A - RTD TEA TETRAPACK 200-240ML,1154I - RTD TEA CARTON,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
CHILLER,1154 - RTD TEA,1154A - RTD TEA TETRAPACK 200-240ML,1154J - RTD TEA PET >=1000ML,7,2.3333333333333333,2.7000000000000000,1.00000000000000000000
CHILLER,1154 - RTD TEA,1154A - RTD TEA TETRAPACK 200-240ML,1154K - RTD MILK TEA PET,42,14.0000000000000000,2.0344827586206897,1.1551724137931034
CHILLER,1154 - RTD TEA,1154A - RTD TEA TETRAPACK 200-240ML,1154L - RTD TEA LESS SUGAR,83,27.6666666666666667,2.8191489361702128,2.3936170212765957
CHILLER,1154 - RTD TEA,1154B - RTD TEA TETRAPACK 250-500ML,1154C - RTD TEA TETRAPACK 1L,25,8.3333333333333333,4.7857142857142857,1.6785714285714286
CHILLER,1154 - RTD TEA,1154B - RTD TEA TETRAPACK 250-500ML,1154D - RTD TEA PET 250-420ML,164,54.6666666666666667,2.5594059405940594,2.2376237623762376
CHILLER,1154 - RTD TEA,1154B - RTD TEA TETRAPACK 250-500ML,1154E - RTD TEA PET 450-500ML,86,28.6666666666666667,2.5049504950495050,1.7326732673267327
CHILLER,1154 - RTD TEA,1154B - RTD TEA TETRAPACK 250-500ML,1154G - RTD TEA CAN,12,4.0000000000000000,9.6666666666666667,2.2500000000000000
CHILLER,1154 - RTD TEA,1154B - RTD TEA TETRAPACK 250-500ML,1154J - RTD TEA PET >=1000ML,10,3.3333333333333333,3.3846153846153846,1.2307692307692308
CHILLER,1154 - RTD TEA,1154B - RTD TEA TETRAPACK 250-500ML,1154K - RTD MILK TEA PET,36,12.0000000000000000,1.6888888888888889,1.2000000000000000
CHILLER,1154 - RTD TEA,1154B - RTD TEA TETRAPACK 250-500ML,1154L - RTD TEA LESS SUGAR,60,20.0000000000000000,3.2714285714285714,2.2857142857142857
CHILLER,1154 - RTD TEA,1154D - RTD TEA PET 250-420ML,1154E - RTD TEA PET 450-500ML,867,289.0000000000000000,1.8223300970873786,1.6097087378640777
CHILLER,1154 - RTD TEA,1154D - RTD TEA PET 250-420ML,1154G - RTD TEA CAN,8,2.6666666666666667,1.4545454545454545,1.0909090909090909
CHILLER,1154 - RTD TEA,1154D - RTD TEA PET 250-420ML,1154J - RTD TEA PET >=1000ML,112,37.3333333333333333,1.6044776119402985,1.1343283582089552
CHILLER,1154 - RTD TEA,1154D - RTD TEA PET 250-420ML,1154K - RTD MILK TEA PET,200,66.6666666666666667,2.1061643835616438,1.6849315068493151
CHILLER,1154 - RTD TEA,1154D - RTD TEA PET 250-420ML,1154L - RTD TEA LESS SUGAR,336,112.0000000000000000,2.1066997518610422,2.0223325062034739
CHILLER,1154 - RTD TEA,1154E - RTD TEA PET 450-500ML,1154G - RTD TEA CAN,8,2.6666666666666667,1.2222222222222222,1.4444444444444444
CHILLER,1154 - RTD TEA,1154E - RTD TEA PET 450-500ML,1154J - RTD TEA PET >=1000ML,151,50.3333333333333333,1.3855421686746988,1.1746987951807229
CHILLER,1154 - RTD TEA,1154E - RTD TEA PET 450-500ML,1154K - RTD MILK TEA PET,124,41.3333333333333333,1.8275862068965517,1.5287356321839080
CHILLER,1154 - RTD TEA,1154E - RTD TEA PET 450-500ML,1154L - RTD TEA LESS SUGAR,130,43.3333333333333333,1.7013888888888889,1.6666666666666667
CHILLER,1154 - RTD TEA,1154G - RTD TEA CAN,1154J - RTD TEA PET >=1000ML,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
CHILLER,1154 - RTD TEA,1154G - RTD TEA CAN,1154K - RTD MILK TEA PET,3,1.00000000000000000000,1.00000000000000000000,1.4000000000000000
CHILLER,1154 - RTD TEA,1154G - RTD TEA CAN,1154L - RTD TEA LESS SUGAR,7,2.3333333333333333,1.2857142857142857,1.4285714285714286
CHILLER,1154 - RTD TEA,1154J - RTD TEA PET >=1000ML,1154K - RTD MILK TEA PET,20,6.6666666666666667,1.1363636363636364,1.5000000000000000
CHILLER,1154 - RTD TEA,1154J - RTD TEA PET >=1000ML,1154L - RTD TEA LESS SUGAR,15,5.0000000000000000,1.00000000000000000000,1.7500000000000000
CHILLER,1154 - RTD TEA,1154K - RTD MILK TEA PET,1154L - RTD TEA LESS SUGAR,30,10.0000000000000000,1.1714285714285714,2.6571428571428571
CHILLER,1156 - RTD COFFEE,1156A - RTD COFFEE TETRAPACK,"1156B - RTD COFFEE CAN, BOTTLE, PET",139,46.3333333333333333,1.1381215469613260,1.1546961325966851
CHILLER,2023 - TETRAPACK LIQUID MILK,2023A - TETRAPAK LIQUID MILK 100-130ML,2023B - TETRAPAK LIQUID MILK 160-200ML,1170,390.0000000000000000,2.1933734939759036,1.7024096385542169
CHILLER,2023 - TETRAPACK LIQUID MILK,2023A - TETRAPAK LIQUID MILK 100-130ML,2023C - TETRAPAK LIQUID MILK 220-250ML,1416,472.0000000000000000,2.0172001911132346,1.3578595317725753
CHILLER,2023 - TETRAPACK LIQUID MILK,2023A - TETRAPAK LIQUID MILK 100-130ML,2023D - TETRAPAK LIQUID MILK 900-1000ML,966,322.0000000000000000,2.5995297805642633,1.1826018808777429
CHILLER,2023 - TETRAPACK LIQUID MILK,2023A - TETRAPAK LIQUID MILK 100-130ML,2023E - TETRAPAK LIQUID MILK PACKED,679,226.3333333333333333,3.0942408376963351,1.1989528795811518
CHILLER,2023 - TETRAPACK LIQUID MILK,2023A - TETRAPAK LIQUID MILK 100-130ML,2023F - TETRAPAK LIQUID MILK CARTON,6,2.0000000000000000,1.00000000000000000000,1.1250000000000000
CHILLER,2023 - TETRAPACK LIQUID MILK,2023B - TETRAPAK LIQUID MILK 160-200ML,2023C - TETRAPAK LIQUID MILK 220-250ML,1840,613.3333333333333333,1.4460269865067466,1.4175412293853073
CHILLER,2023 - TETRAPACK LIQUID MILK,2023B - TETRAPAK LIQUID MILK 160-200ML,2023D - TETRAPAK LIQUID MILK 900-1000ML,606,202.0000000000000000,1.7792041078305520,1.2156611039794608
CHILLER,2023 - TETRAPACK LIQUID MILK,2023B - TETRAPAK LIQUID MILK 160-200ML,2023E - TETRAPAK LIQUID MILK PACKED,321,107.0000000000000000,2.0469135802469136,1.1802469135802469
CHILLER,2023 - TETRAPACK LIQUID MILK,2023B - TETRAPAK LIQUID MILK 160-200ML,2023F - TETRAPAK LIQUID MILK CARTON,1,0.50000000000000000000,2.0000000000000000,1.00000000000000000000
CHILLER,2023 - TETRAPACK LIQUID MILK,2023C - TETRAPAK LIQUID MILK 220-250ML,2023D - TETRAPAK LIQUID MILK 900-1000ML,884,294.6666666666666667,1.5609958506224066,1.1767634854771784
CHILLER,2023 - TETRAPACK LIQUID MILK,2023C - TETRAPAK LIQUID MILK 220-250ML,2023E - TETRAPAK LIQUID MILK PACKED,485,161.6666666666666667,1.8163580246913580,1.2129629629629630
CHILLER,2023 - TETRAPACK LIQUID MILK,2023C - TETRAPAK LIQUID MILK 220-250ML,2023F - TETRAPAK LIQUID MILK CARTON,6,3.0000000000000000,2.0000000000000000,1.3333333333333333
CHILLER,2024 - BOTTLE - CAN LIQUID MILK,2024A - CAN LIQUID MILK,2024C - BOTTLE LIQUID MILK 160-310ML,278,92.6666666666666667,1.6748633879781421,1.3989071038251366
CHILLER,2025 - PLANT BASED LIQUID MILK,2025A - PLANT BASED MILK 190-350ML,2025B - PLANT BASED MILK 1L,30,10.0000000000000000,1.6285714285714286,1.0571428571428571
CHILLER,6211 - FRESH MILK,6211B - FRESH MILK TETRAPACK 125-200ML,6211C - FRESH MILK TETRAPACK 1L,3,1.00000000000000000000,1.00000000000000000000,1.6666666666666667
CHILLER,6212 - YOGHURT,6212A - YOGHURT PACK,6212B - YOGHURT LIQUID 70-80G,472,157.3333333333333333,1.1604938271604938,2.2191358024691358
CHILLER,6212 - YOGHURT,6212A - YOGHURT PACK,6212C - YOGHURT LIQUID 100-330ML,495,165.0000000000000000,1.2161172161172161,1.2954822954822955
CHILLER,6212 - YOGHURT,6212B - YOGHURT LIQUID 70-80G,6212C - YOGHURT LIQUID 100-330ML,706,235.3333333333333333,1.8844011142061281,1.1761838440111421
CHILLER,6218 - PUDDING,6218A - PUDDING CUP 85-150ML,6218C - SOFT PUDDING,3,1.00000000000000000000,1.00000000000000000000,2.0000000000000000
FREEZER NUGGET,6231 - CHICKEN NUGGET,6231A - READY TO COOK BAG 130-300G,6231B - READY TO COOK BAG 400-500G,84,28.0000000000000000,1.0927835051546392,1.0618556701030928
HOUSE HOLD,3511 - FLOOR CLEANER,3511A - FLOOR CLEANER CARBOLIC,3511B - FLOOR CLEANER FRAGRANCE,1184,394.6666666666666667,1.5550660792951542,1.5896790434235368
HOUSE HOLD,3513 - TOILET CLEANER,3513A - TOILET CLEANER 100-350ML,3513B - TOILET CLEANER 350-600ML,48,16.0000000000000000,1.8461538461538462,1.5192307692307692
HOUSE HOLD,3513 - TOILET CLEANER,3513A - TOILET CLEANER 100-350ML,3513C - TOILET CLEANER 700-1000ML,25,8.3333333333333333,1.6206896551724138,1.5862068965517241
HOUSE HOLD,3513 - TOILET CLEANER,3513A - TOILET CLEANER 100-350ML,3513D - TOILET CLEANER >1000ML,5,1.6666666666666667,1.1666666666666667,1.00000000000000000000
HOUSE HOLD,3513 - TOILET CLEANER,3513B - TOILET CLEANER 350-600ML,3513C - TOILET CLEANER 700-1000ML,228,76.0000000000000000,1.3280632411067194,1.4071146245059289
HOUSE HOLD,3513 - TOILET CLEANER,3513B - TOILET CLEANER 350-600ML,3513D - TOILET CLEANER >1000ML,3,1.00000000000000000000,1.6666666666666667,2.0000000000000000
HOUSE HOLD,3513 - TOILET CLEANER,3513C - TOILET CLEANER 700-1000ML,3513D - TOILET CLEANER >1000ML,3,1.00000000000000000000,2.0000000000000000,1.5000000000000000
HOUSE HOLD,3516 - DISHWASHING CLEANER,3516A - DISHWASHING CLEANER 100-250ML,3516B - DISHWASHING CLEANER 300-550ML,12,4.0000000000000000,2.2307692307692308,1.8461538461538462
HOUSE HOLD,3516 - DISHWASHING CLEANER,3516A - DISHWASHING CLEANER 100-250ML,3516C - DISHWASHING CLEANER 600-800ML,16,5.3333333333333333,2.8421052631578947,3.0000000000000000
HOUSE HOLD,3516 - DISHWASHING CLEANER,3516A - DISHWASHING CLEANER 100-250ML,3516D - DISHWASHING CLEANER >1000ML,2,0.66666666666666666667,1.00000000000000000000,1.6666666666666667
HOUSE HOLD,3516 - DISHWASHING CLEANER,3516B - DISHWASHING CLEANER 300-550ML,3516C - DISHWASHING CLEANER 600-800ML,274,91.3333333333333333,2.1754385964912281,1.7969924812030075
HOUSE HOLD,3516 - DISHWASHING CLEANER,3516B - DISHWASHING CLEANER 300-550ML,3516D - DISHWASHING CLEANER >1000ML,71,23.6666666666666667,1.5584415584415584,1.4155844155844156
HOUSE HOLD,3516 - DISHWASHING CLEANER,3516C - DISHWASHING CLEANER 600-800ML,3516D - DISHWASHING CLEANER >1000ML,913,304.3333333333333333,1.6462222222222222,1.4533333333333333
HOUSE HOLD,3611 - AEROSOL INSECTICIDES,3611A - AEROSOL INSECTICIDES 600-700ML,3611B - AEROSOL INSECTICIDES 200-400ML,99,33.0000000000000000,1.3613445378151261,1.1260504201680672
HOUSE HOLD,3611 - AEROSOL INSECTICIDES,3611A - AEROSOL INSECTICIDES 600-700ML,3611C - AEROSOL INSECTICIDES 10-100ML,46,15.3333333333333333,1.0377358490566038,1.2075471698113208
HOUSE HOLD,3611 - AEROSOL INSECTICIDES,3611B - AEROSOL INSECTICIDES 200-400ML,3611C - AEROSOL INSECTICIDES 10-100ML,26,8.6666666666666667,1.0714285714285714,1.1071428571428571
HOUSE HOLD,3615 - ELECTRIC INSECTICIDES,3615A - ELECTRIC INSECTICIDES LIQUID,3615B - ELECTRIC INSECTICIDES MAT,71,23.6666666666666667,1.2150537634408602,1.0537634408602151
HOUSE HOLD,3622 - CABINET NAPHTHALENE,3622A - CABINET NAPHTHALENE 150-300G,3622B - CABINET NAPHTHALENE 10-50G,48,16.0000000000000000,1.2142857142857143,1.3571428571428571
HOUSE HOLD,3623 - AEROSOL AIR FRESHENER,3623A - AEROSOL AIR FRESHENER 150-275,3623B - AEROSOL AIR FRESHENER 300-400,40,13.3333333333333333,1.4576271186440678,1.3728813559322034
HOUSE HOLD,3624 - GEL AIR FRESHENER,3624A - GEL AIR FRESHENER 5-70G,3624B - GEL AIR FRESHENER 200-300G,13,4.3333333333333333,2.4285714285714286,1.6190476190476190
HOUSE HOLD,3711 - POWDER DETERGENT,3711B - POWDER DETERGENT 100-600G,3711C - POWDER DETERGENT 601-990G,155,51.6666666666666667,1.9803921568627451,1.3529411764705882
HOUSE HOLD,3711 - POWDER DETERGENT,3711B - POWDER DETERGENT 100-600G,3711D - POWDER DETERGENT 1-2 KG,139,46.3333333333333333,1.9041916167664671,1.2574850299401198
HOUSE HOLD,3711 - POWDER DETERGENT,3711C - POWDER DETERGENT 601-990G,3711D - POWDER DETERGENT 1-2 KG,320,106.6666666666666667,1.4760869565217391,1.2891304347826087
HOUSE HOLD,3714 - LIQUID DETERGENT,3714A - LIQUID DETERGENT BOTTLE,3714B - LIQUID DETERGENT 400-900ML,1063,354.3333333333333333,1.3348066298342541,1.4049723756906077
HOUSE HOLD,3714 - LIQUID DETERGENT,3714A - LIQUID DETERGENT BOTTLE,3714C - LIQUID DETERGENT >1000ML,92,30.6666666666666667,1.4424778761061947,1.3362831858407080
HOUSE HOLD,3714 - LIQUID DETERGENT,3714B - LIQUID DETERGENT 400-900ML,3714C - LIQUID DETERGENT >1000ML,166,55.3333333333333333,1.6822033898305085,1.4745762711864407
HOUSE HOLD,3722 - CONCENTRATE FABRIC CONDITIONER,3722B - CONCENTRATE SOFTENER 250-500ML,3722C - CONCENTRATE SOFTENER 600-800ML,181,60.3333333333333333,1.4169278996865204,1.4984326018808777
HOUSE HOLD,3722 - CONCENTRATE FABRIC CONDITIONER,3722B - CONCENTRATE SOFTENER 250-500ML,3722D - CONCENTRATE SOFTENER 900ML-2L,20,6.6666666666666667,1.7727272727272727,1.4090909090909091
HOUSE HOLD,3722 - CONCENTRATE FABRIC CONDITIONER,3722C - CONCENTRATE SOFTENER 600-800ML,3722D - CONCENTRATE SOFTENER 900ML-2L,120,40.0000000000000000,1.5947712418300654,1.4640522875816993
HOUSE HOLD,3724 - IRONING,3724C - IRONING REF 200-500ML,3724D - IRONING BTL 300-500ML,84,28.0000000000000000,2.0721649484536082,1.0103092783505155
HOUSE HOLD,4251 - CLEANING EQUIPMENT,4251A - CLEANING EQUIPMENT HOME,4251B - CLEANING EQUIPMENT TOILET,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
HOUSE HOLD,4251 - CLEANING EQUIPMENT,4251A - CLEANING EQUIPMENT HOME,4251C - CLEANING EQUIPMENT KITCHEN,63,21.0000000000000000,1.2467532467532468,1.0649350649350649
